show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description
s11,Movie,Project Power,,"Brad Pitt, Denzel Washington, Morgan Freeman",Spain,"September 4, 2019",2015,TV-14,134 min,Thrillers,A visually stunning piece that captivates with its unique perspective.
s12,Movie,Pulp Fiction: Part 3,Spike Lee,"Angelina Jolie, Tom Hanks, Ryan Gosling, Scarlett Johansson",Canada,"July 8, 2019",2016,TV-PG,168 min,Stand-Up Comedy,An emotional journey that resonates with viewers around the world.
s13,Movie,The Old Guard,Steven Spielberg,"Brad Pitt, Angelina Jolie",United States,"May 22, 2015",2013,PG-13,100 min,Horror Movies,A thought-provoking narrative exploring themes of identity and redemption.
s14,Movie,Saving Private Ryan,Bong Joon-ho,"Cate Blanchett, Angelina Jolie, Ryan Gosling",United States,"March 11, 2019",2015,TV-14,107 min,"Romantic Movies, Thrillers, Horror Movies",An emotional journey that resonates with viewers around the world.
s15,TV Show,Mindhunter: Season 5,Denis Villeneuve,"Meryl Streep, Brad Pitt, Cate Blanchett",Turkey,"January 3, 2020",2019,R,5 Seasons,Documentaries,A visually stunning piece that captivates with its unique perspective.
s16,Movie,Avengers Endgame,Alfonso Cuaron,"Tom Hanks, Ryan Gosling, Emma Stone, Scarlett Johansson",Spain,"September 20, 2017",2012,R,143 min,Children & Family Movies,An emotional journey that resonates with viewers around the world.
s17,Movie,Forrest Gump: Part 3,,"Ryan Gosling, Emma Stone",Nigeria,"January 7, 2020",2020,TV-14,139 min,Anime Series,A gripping tale that explores complex characters through unexpected twists.
s18,TV Show,Stranger Things: Season 6,Martin Scorsese,"Angelina Jolie, Morgan Freeman",United States,"May 16, 2020",2019,TV-14,6 Seasons,Stand-Up Comedy,An award-winning production that redefines storytelling in modern cinema.
s19,TV Show,The Witcher,Denis Villeneuve,"Scarlett Johansson, Morgan Freeman, Tom Hanks",India,"May 9, 2018",2012,R,2 Seasons,"Romantic Movies, Children & Family Movies, Drama TV Shows",A gripping tale that explores complex characters through unexpected twists.
s20,Movie,Malcolm and Marie,Quentin Tarantino,"Cate Blanchett, Ryan Gosling",United States,"March 1, 2019",2015,TV-MA,107 min,"Documentaries, Stand-Up Comedy, Comedies",An award-winning production that redefines storytelling in modern cinema.
s21,Movie,Extraction: Part 3,Christopher Nolan,"Brad Pitt, Denzel Washington, Emma Stone",Australia,"December 5, 2020",2019,TV-Y7,86 min,"Kids TV, Drama TV Shows",A visually stunning piece that captivates with its unique perspective.
s22,Movie,Parasite,Quentin Tarantino,"Morgan Freeman, Brad Pitt, Leonardo DiCaprio, Cate Blanchett",United States,"February 6, 2019",2015,TV-MA,158 min,"Comedies, Horror Movies",A gripping tale that explores complex characters through unexpected twists.
s23,Movie,Gladiator,Sofia Coppola,"Ryan Gosling, Leonardo DiCaprio, Emma Stone",Japan,"November 9, 2016",2013,PG,152 min,Comedies,A thought-provoking narrative exploring themes of identity and redemption.
s24,Movie,Shawshank Redemption: Part 3,Denis Villeneuve,"Viola Davis, Denzel Washington",India,"September 23, 2019",2014,PG-13,173 min,"Action & Adventure, Drama TV Shows",An award-winning production that redefines storytelling in modern cinema.
s25,TV Show,Breaking Bad: Season 6,Christopher Nolan,"Denzel Washington, Viola Davis, Brad Pitt, Meryl Streep, Tom Hanks",United Kingdom,"June 21, 2020",2011,PG-13,6 Seasons,"Dramas, Comedies",A thought-provoking narrative exploring themes of identity and redemption.
s26,Movie,The Godfather,Guillermo del Toro,"Ryan Gosling, Viola Davis, Tom Hanks",India,"January 20, 2015",2014,TV-14,142 min,"Anime Series, Drama TV Shows, Stand-Up Comedy",A gripping tale that explores complex characters through unexpected twists.
s27,Movie,Thunder Force: Part 3,Quentin Tarantino,"Denzel Washington, Ryan Gosling, Angelina Jolie, Leonardo DiCaprio",South Korea,"December 3, 2021",2021,TV-PG,149 min,"Comedies, International Movies, Romantic Movies",A gripping tale that explores complex characters through unexpected twists.
s28,Movie,Avengers Endgame,Alfonso Cuaron,"Emma Stone, Angelina Jolie, Ryan Gosling, Meryl Streep, Scarlett Johansson",India,"August 19, 2021",2005,R,152 min,"Crime TV Shows, Anime Series, Comedies",An emotional journey that resonates with viewers around the world.
s29,TV Show,Squid Game,Alfonso Cuaron,"Denzel Washington, Leonardo DiCaprio, Morgan Freeman",United States,"August 5, 2019",2014,TV-MA,5 Seasons,"Romantic Movies, Horror Movies, Dramas",A gripping tale that explores complex characters through unexpected twists.
s30,TV Show,Narcos,Ava DuVernay,"Meryl Streep, Morgan Freeman",India,"May 24, 2020",2020,R,4 Seasons,"Documentaries, Comedies, Romantic Movies",An award-winning production that redefines storytelling in modern cinema.
s31,Movie,Bird Box,,"Tom Hanks, Morgan Freeman, Angelina Jolie, Emma Stone",India,"September 26, 2017",2014,TV-MA,109 min,"Drama TV Shows, Stand-Up Comedy",An emotional journey that resonates with viewers around the world.
s32,TV Show,Ozark,Steven Spielberg,"Ryan Gosling, Emma Stone, Denzel Washington, Viola Davis",India,"March 27, 2017",2014,TV-MA,1 Season,"Romantic Movies, Documentaries",A visually stunning piece that captivates with its unique perspective.
s33,Movie,The Matrix,Sofia Coppola,"Viola Davis, Leonardo DiCaprio, Brad Pitt",South Korea,"March 24, 2018",2016,PG,139 min,"Anime Series, Crime TV Shows, Reality TV",An emotional journey that resonates with viewers around the world.
s34,Movie,Army of the Dead,Quentin Tarantino,"Scarlett Johansson, Denzel Washington, Brad Pitt, Emma Stone, Morgan Freeman",United States,"May 20, 2020",2020,TV-PG,76 min,"Kids TV, International Movies",An emotional journey that resonates with viewers around the world.
s35,Movie,Schindlers List,Spike Lee,"Emma Stone, Angelina Jolie",India,"February 23, 2019",2008,PG-13,78 min,"Drama TV Shows, Action & Adventure, Crime TV Shows",A gripping tale that explores complex characters through unexpected twists.
s36,Movie,Thunder Force: Part 3,Steven Spielberg,"Meryl Streep, Viola Davis, Emma Stone",India,"June 11, 2015",2013,PG-13,138 min,"Drama TV Shows, Crime TV Shows, Stand-Up Comedy",An award-winning production that redefines storytelling in modern cinema.
s37,Movie,Inception,Guillermo del Toro,"Cate Blanchett, Emma Stone, Tom Hanks, Angelina Jolie",Canada,"January 25, 2019",2013,R,147 min,"Dramas, Reality TV, Horror Movies",An emotional journey that resonates with viewers around the world.
s38,Movie,Forrest Gump: Part 3,Sofia Coppola,"Morgan Freeman, Leonardo DiCaprio, Denzel Washington",Japan,"November 26, 2017",2017,TV-14,163 min,Crime TV Shows,A visually stunning piece that captivates with its unique perspective.
s39,TV Show,The Crown: Season 3,Quentin Tarantino,"Cate Blanchett, Denzel Washington, Morgan Freeman",India,"July 23, 2018",2013,TV-PG,3 Seasons,"Action & Adventure, Anime Series, Romantic Movies",A gripping tale that explores complex characters through unexpected twists.
s40,Movie,Saving Private Ryan: Part 3,Denis Villeneuve,"Cate Blanchett, Brad Pitt, Viola Davis, Emma Stone",United Kingdom,"July 20, 2019",2014,NC-17,104 min,Kids TV,A thought-provoking narrative exploring themes of identity and redemption.
s41,Movie,Inception,Ava DuVernay,"Angelina Jolie, Cate Blanchett, Emma Stone",France,"August 20, 2019",2005,R,126 min,"Documentaries, Reality TV, Anime Series",A thought-provoking narrative exploring themes of identity and redemption.
s42,Movie,Forrest Gump,Alfonso Cuaron,"Morgan Freeman, Scarlett Johansson, Leonardo DiCaprio, Brad Pitt",United States,"May 2, 2018",2016,G,163 min,Horror Movies,An emotional journey that resonates with viewers around the world.
s43,Movie,Goodfellas: Part 3,Alfonso Cuaron,"Meryl Streep, Ryan Gosling",Nigeria,"March 24, 2021",2020,TV-PG,167 min,"Comedies, Romantic Movies",An award-winning production that redefines storytelling in modern cinema.
s44,TV Show,Narcos: Season 5,Steven Spielberg,"Cate Blanchett, Tom Hanks, Ryan Gosling, Leonardo DiCaprio",United States,"April 2, 2020",2009,R,5 Seasons,Horror Movies,A visually stunning piece that captivates with its unique perspective.
s45,TV Show,Sex Education,Quentin Tarantino,"Ryan Gosling, Angelina Jolie, Tom Hanks, Leonardo DiCaprio",Australia,"January 22, 2017",2016,TV-PG,4 Seasons,"Horror Movies, Romantic Movies, Anime Series",An emotional journey that resonates with viewers around the world.
s46,Movie,The Irishman: Part 2,Bong Joon-ho,"Angelina Jolie, Emma Stone, Viola Davis, Denzel Washington, Brad Pitt",United States,"November 27, 2017",2011,TV-MA,152 min,Comedies,An emotional journey that resonates with viewers around the world.
s47,Movie,Avengers Endgame,Ava DuVernay,"Scarlett Johansson, Morgan Freeman",South Korea,"March 12, 2018",2018,PG-13,124 min,"Drama TV Shows, Thrillers",A gripping tale that explores complex characters through unexpected twists.
s48,Movie,Forrest Gump: Part 2,Denis Villeneuve,"Emma Stone, Tom Hanks",Spain,"September 17, 2021",2018,TV-MA,160 min,Kids TV,A visually stunning piece that captivates with its unique perspective.
s49,TV Show,Narcos: Season 5,Steven Spielberg,"Ryan Gosling, Emma Stone, Angelina Jolie",United States,"June 9, 2021",2003,NC-17,5 Seasons,"Dramas, Thrillers, International Movies",A visually stunning piece that captivates with its unique perspective.
s50,Movie,Army of the Dead: Part 2,Ava DuVernay,"Tom Hanks, Leonardo DiCaprio, Meryl Streep, Morgan Freeman",United Kingdom,"February 6, 2016",2015,PG-13,106 min,"Documentaries, Comedies, Reality TV",An award-winning production that redefines storytelling in modern cinema.
s51,Movie,Pulp Fiction: Part 3,Bong Joon-ho,"Ryan Gosling, Emma Stone, Tom Hanks, Angelina Jolie, Scarlett Johansson",United Kingdom,"October 19, 2017",2014,TV-14,110 min,"Reality TV, International Movies",An award-winning production that redefines storytelling in modern cinema.
s52,TV Show,Sex Education,Martin Scorsese,"Meryl Streep, Denzel Washington",India,"March 5, 2019",2014,TV-PG,3 Seasons,"Stand-Up Comedy, Reality TV, Crime TV Shows",A gripping tale that explores complex characters through unexpected twists.
s53,Movie,Saving Private Ryan,Martin Scorsese,"Cate Blanchett, Ryan Gosling, Morgan Freeman, Leonardo DiCaprio",Australia,"November 20, 2017",2016,TV-PG,153 min,"Reality TV, Drama TV Shows",A thought-provoking narrative exploring themes of identity and redemption.
s54,Movie,Saving Private Ryan,Christopher Nolan,"Denzel Washington, Cate Blanchett",Germany,"April 16, 2016",2003,TV-Y,97 min,"Documentaries, International Movies",A gripping tale that explores complex characters through unexpected twists.
s55,TV Show,Orange Is the New Black,Steven Spielberg,"Brad Pitt, Morgan Freeman, Emma Stone",Germany,"October 28, 2018",2017,TV-MA,6 Seasons,"Children & Family Movies, Reality TV",A gripping tale that explores complex characters through unexpected twists.
s56,TV Show,Stranger Things: Season 4,Quentin Tarantino,"Tom Hanks, Morgan Freeman",United Kingdom,"March 28, 2020",2016,TV-MA,4 Seasons,Stand-Up Comedy,A visually stunning piece that captivates with its unique perspective.
s57,Movie,Black Panther,,"Cate Blanchett, Viola Davis, Leonardo DiCaprio, Emma Stone, Brad Pitt",India,"November 11, 2018",2018,TV-MA,120 min,Dramas,A thought-provoking narrative exploring themes of identity and redemption.
s58,TV Show,Peaky Blinders: Season 2,,"Viola Davis, Angelina Jolie, Morgan Freeman, Tom Hanks",India,"August 17, 2016",2010,PG,2 Seasons,Anime Series,A gripping tale that explores complex characters through unexpected twists.
s59,TV Show,Money Heist,Spike Lee,"Ryan Gosling, Angelina Jolie",United Kingdom,"December 7, 2020",2019,TV-PG,4 Seasons,Children & Family Movies,An award-winning production that redefines storytelling in modern cinema.
s60,TV Show,Ozark: Season 5,David Fincher,"Emma Stone, Tom Hanks, Meryl Streep, Ryan Gosling",Germany,"July 9, 2015",2015,TV-MA,5 Seasons,"Anime Series, Kids TV, Dramas",An emotional journey that resonates with viewers around the world.
s61,TV Show,The Witcher: Season 2,Bong Joon-ho,"Cate Blanchett, Meryl Streep, Tom Hanks, Emma Stone, Angelina Jolie",India,"October 3, 2020",2011,TV-MA,2 Seasons,"International Movies, Stand-Up Comedy",A thought-provoking narrative exploring themes of identity and redemption.
s62,TV Show,Money Heist: Season 4,,"Ryan Gosling, Brad Pitt, Viola Davis",Turkey,"September 21, 2019",2016,G,4 Seasons,"Stand-Up Comedy, Drama TV Shows",A thought-provoking narrative exploring themes of identity and redemption.
s63,Movie,Avengers Endgame: Part 2,Christopher Nolan,"Cate Blanchett, Angelina Jolie, Tom Hanks, Ryan Gosling",United States,"October 6, 2021",2020,G,86 min,Kids TV,An emotional journey that resonates with viewers around the world.
s64,TV Show,Bridgerton: Season 1,Quentin Tarantino,"Scarlett Johansson, Denzel Washington",United States,"February 8, 2021",2017,TV-14,1 Season,"Romantic Movies, Dramas",A gripping tale that explores complex characters through unexpected twists.
s65,TV Show,You,,"Leonardo DiCaprio, Scarlett Johansson, Tom Hanks, Meryl Streep",United States,"December 1, 2018",2007,TV-14,4 Seasons,"Anime Series, Drama TV Shows, Action & Adventure",An emotional journey that resonates with viewers around the world.
s66,Movie,Chicago 7,Bong Joon-ho,"Brad Pitt, Morgan Freeman, Cate Blanchett",India,"May 26, 2016",2011,TV-Y7,79 min,Kids TV,A gripping tale that explores complex characters through unexpected twists.
s67,Movie,Parasite,Spike Lee,"Meryl Streep, Morgan Freeman, Scarlett Johansson, Cate Blanchett, Emma Stone",United States,"December 16, 2018",2018,TV-MA,115 min,Documentaries,An emotional journey that resonates with viewers around the world.
s68,Movie,Goodfellas,Christopher Nolan,"Tom Hanks, Viola Davis, Brad Pitt, Denzel Washington",United States,"March 7, 2017",2013,NC-17,174 min,"Action & Adventure, Anime Series, Comedies",An emotional journey that resonates with viewers around the world.
s69,Movie,Black Panther: Part 3,Martin Scorsese,"Cate Blanchett, Emma Stone, Meryl Streep, Ryan Gosling, Angelina Jolie",France,"January 8, 2016",2008,TV-PG,172 min,"Thrillers, Drama TV Shows, Action & Adventure",A visually stunning piece that captivates with its unique perspective.
s70,TV Show,Shadow and Bone: Season 6,Sofia Coppola,"Emma Stone, Angelina Jolie, Meryl Streep, Ryan Gosling",United States,"February 2, 2021",2021,TV-MA,6 Seasons,Drama TV Shows,An emotional journey that resonates with viewers around the world.
s71,Movie,Pulp Fiction,Bong Joon-ho,"Viola Davis, Brad Pitt, Angelina Jolie",United States,"February 11, 2020",2020,G,170 min,"Horror Movies, Action & Adventure",An emotional journey that resonates with viewers around the world.
s72,TV Show,House of Cards: Season 5,Spike Lee,"Emma Stone, Leonardo DiCaprio, Morgan Freeman, Viola Davis, Meryl Streep",United States,"June 3, 2020",2019,PG,5 Seasons,Comedies,A gripping tale that explores complex characters through unexpected twists.
s73,Movie,Marriage Story,Alfonso Cuaron,"Angelina Jolie, Morgan Freeman",Spain,"June 21, 2021",2019,TV-14,150 min,"Stand-Up Comedy, Horror Movies, Thrillers",A gripping tale that explores complex characters through unexpected twists.
s74,Movie,The Godfather,Ava DuVernay,"Morgan Freeman, Emma Stone, Tom Hanks, Brad Pitt, Angelina Jolie",India,"March 13, 2021",2021,TV-14,135 min,"Stand-Up Comedy, Documentaries, Crime TV Shows",A gripping tale that explores complex characters through unexpected twists.
s75,TV Show,You,Bong Joon-ho,"Denzel Washington, Brad Pitt",United Kingdom,"September 20, 2015",2008,TV-14,6 Seasons,Stand-Up Comedy,An award-winning production that redefines storytelling in modern cinema.
s76,Movie,Silence of Lambs: Part 2,Ava DuVernay,"Cate Blanchett, Brad Pitt, Tom Hanks, Viola Davis, Angelina Jolie",United Kingdom,"October 26, 2021",2021,TV-PG,122 min,"Children & Family Movies, Horror Movies",An emotional journey that resonates with viewers around the world.
s77,TV Show,Narcos: Season 1,Spike Lee,"Morgan Freeman, Leonardo DiCaprio, Denzel Washington",India,"February 6, 2021",2016,TV-14,1 Season,"Documentaries, Romantic Movies",An emotional journey that resonates with viewers around the world.
s78,TV Show,Squid Game: Season 6,David Fincher,"Emma Stone, Viola Davis, Angelina Jolie, Denzel Washington",United States,"August 21, 2021",2002,TV-MA,6 Seasons,"Thrillers, Kids TV",A visually stunning piece that captivates with its unique perspective.
s79,Movie,Pulp Fiction,Guillermo del Toro,"Emma Stone, Meryl Streep, Brad Pitt, Viola Davis, Leonardo DiCaprio",United States,"August 18, 2020",2019,NC-17,146 min,"Stand-Up Comedy, International Movies",An emotional journey that resonates with viewers around the world.
s80,Movie,Bird Box,Quentin Tarantino,"Angelina Jolie, Brad Pitt",Mexico,"June 26, 2021",2009,PG-13,108 min,"Anime Series, Children & Family Movies, Reality TV",A gripping tale that explores complex characters through unexpected twists.
s81,Movie,Inception: Part 3,Steven Spielberg,"Brad Pitt, Morgan Freeman",United States,"May 28, 2017",2016,PG-13,166 min,"Drama TV Shows, Horror Movies",A gripping tale that explores complex characters through unexpected twists.
s82,Movie,The Old Guard,Guillermo del Toro,"Viola Davis, Denzel Washington",United States,"September 15, 2019",2018,TV-14,141 min,"Comedies, Children & Family Movies, International Movies",A thought-provoking narrative exploring themes of identity and redemption.
s83,Movie,Gladiator,Guillermo del Toro,"Tom Hanks, Meryl Streep, Ryan Gosling, Brad Pitt",United States,"October 6, 2021",2014,PG,99 min,"Comedies, Horror Movies",An emotional journey that resonates with viewers around the world.
s84,TV Show,Better Call Saul: Season 6,Ava DuVernay,"Meryl Streep, Angelina Jolie, Brad Pitt, Cate Blanchett",United States,"December 8, 2016",2005,G,6 Seasons,Drama TV Shows,An award-winning production that redefines storytelling in modern cinema.
s85,Movie,The Dark Knight,David Fincher,"Denzel Washington, Leonardo DiCaprio, Emma Stone, Morgan Freeman",United Kingdom,"December 22, 2018",2014,PG-13,161 min,"Comedies, Romantic Movies",A gripping tale that explores complex characters through unexpected twists.
s86,TV Show,Peaky Blinders,Martin Scorsese,"Viola Davis, Tom Hanks, Emma Stone",United States,"December 10, 2015",2009,TV-Y7,6 Seasons,International Movies,A gripping tale that explores complex characters through unexpected twists.
s87,Movie,Parasite,Martin Scorsese,"Meryl Streep, Ryan Gosling",Canada,"November 7, 2016",2016,R,162 min,"Stand-Up Comedy, Comedies, Drama TV Shows",An award-winning production that redefines storytelling in modern cinema.
s88,Movie,The Dark Knight,,"Denzel Washington, Angelina Jolie, Emma Stone",South Korea,"December 8, 2018",2007,TV-PG,156 min,Documentaries,A thought-provoking narrative exploring themes of identity and redemption.
s89,Movie,Goodfellas: Part 2,David Fincher,"Viola Davis, Leonardo DiCaprio, Tom Hanks, Angelina Jolie",Australia,"January 23, 2019",2012,TV-Y,86 min,"Crime TV Shows, Reality TV, Action & Adventure",A thought-provoking narrative exploring themes of identity and redemption.
s90,Movie,Chicago 7,Alfonso Cuaron,"Tom Hanks, Viola Davis, Morgan Freeman",United States,"August 7, 2016",2014,TV-MA,174 min,Reality TV,An award-winning production that redefines storytelling in modern cinema.
s91,Movie,Enola Holmes: Part 2,Guillermo del Toro,"Angelina Jolie, Emma Stone",Nigeria,"October 27, 2020",2008,TV-14,149 min,"Drama TV Shows, Children & Family Movies",An emotional journey that resonates with viewers around the world.
s92,Movie,Extraction,David Fincher,"Brad Pitt, Morgan Freeman, Cate Blanchett, Emma Stone",United States,"February 13, 2020",2015,TV-14,111 min,Children & Family Movies,An award-winning production that redefines storytelling in modern cinema.
s93,Movie,The Matrix,David Fincher,"Angelina Jolie, Emma Stone",United States,"May 4, 2020",2019,TV-PG,102 min,"Romantic Movies, Drama TV Shows, Children & Family Movies",A thought-provoking narrative exploring themes of identity and redemption.
s94,TV Show,The Umbrella Academy: Season 3,Martin Scorsese,"Leonardo DiCaprio, Meryl Streep",France,"February 17, 2017",2015,TV-Y,3 Seasons,Kids TV,A thought-provoking narrative exploring themes of identity and redemption.
s95,Movie,Fight Club,Martin Scorsese,"Morgan Freeman, Cate Blanchett, Meryl Streep, Tom Hanks",United States,"February 9, 2017",2013,TV-PG,95 min,"Crime TV Shows, Thrillers",A visually stunning piece that captivates with its unique perspective.
s96,Movie,Forrest Gump,Christopher Nolan,"Scarlett Johansson, Denzel Washington, Leonardo DiCaprio",India,"December 13, 2019",2007,TV-MA,146 min,"Stand-Up Comedy, Anime Series",A gripping tale that explores complex characters through unexpected twists.
s97,TV Show,Breaking Bad,Ava DuVernay,"Tom Hanks, Leonardo DiCaprio, Viola Davis, Denzel Washington, Morgan Freeman",United States,"September 22, 2021",2014,R,5 Seasons,Dramas,A gripping tale that explores complex characters through unexpected twists.
s98,TV Show,Emily in Paris: Season 6,Quentin Tarantino,"Viola Davis, Morgan Freeman",United Kingdom,"February 8, 2015",2005,TV-Y7,6 Seasons,"Reality TV, Horror Movies",A gripping tale that explores complex characters through unexpected twists.
s99,Movie,Fight Club,Spike Lee,"Emma Stone, Cate Blanchett, Viola Davis, Denzel Washington, Brad Pitt",Spain,"May 1, 2021",2018,PG,159 min,"Children & Family Movies, Horror Movies, Romantic Movies",A gripping tale that explores complex characters through unexpected twists.
s100,Movie,Silence of Lambs,Martin Scorsese,"Emma Stone, Scarlett Johansson, Viola Davis, Angelina Jolie, Meryl Streep",Japan,"July 13, 2019",2011,TV-MA,160 min,"Thrillers, Reality TV",An award-winning production that redefines storytelling in modern cinema.
s101,TV Show,Squid Game: Season 6,Alfonso Cuaron,"Scarlett Johansson, Ryan Gosling, Tom Hanks",United States,"June 17, 2018",2015,PG-13,6 Seasons,"Thrillers, Action & Adventure",A visually stunning piece that captivates with its unique perspective.
s102,TV Show,Narcos: Season 5,Christopher Nolan,"Cate Blanchett, Ryan Gosling, Tom Hanks, Angelina Jolie, Morgan Freeman",United Kingdom,"March 9, 2021",2021,R,5 Seasons,"Drama TV Shows, Comedies, Kids TV",A gripping tale that explores complex characters through unexpected twists.
s103,TV Show,Peaky Blinders: Season 2,Denis Villeneuve,"Cate Blanchett, Angelina Jolie, Morgan Freeman",Turkey,"November 13, 2021",2019,TV-PG,2 Seasons,"Comedies, Anime Series, Action & Adventure",An emotional journey that resonates with viewers around the world.
s104,Movie,Gladiator,Guillermo del Toro,"Cate Blanchett, Denzel Washington, Brad Pitt",India,"February 14, 2021",2020,PG-13,112 min,"Stand-Up Comedy, Drama TV Shows",An award-winning production that redefines storytelling in modern cinema.
s105,Movie,Pulp Fiction: Part 2,David Fincher,"Tom Hanks, Leonardo DiCaprio, Brad Pitt, Viola Davis, Angelina Jolie",Canada,"January 11, 2017",2013,TV-MA,133 min,Anime Series,A visually stunning piece that captivates with its unique perspective.
s106,TV Show,Sweet Tooth,David Fincher,"Angelina Jolie, Scarlett Johansson, Emma Stone, Cate Blanchett, Morgan Freeman",India,"March 12, 2019",2011,PG-13,3 Seasons,Kids TV,An award-winning production that redefines storytelling in modern cinema.
s107,Movie,Roma: Part 3,Alfonso Cuaron,"Brad Pitt, Angelina Jolie, Leonardo DiCaprio, Cate Blanchett, Meryl Streep",France,"October 27, 2017",2007,PG,94 min,Action & Adventure,A visually stunning piece that captivates with its unique perspective.
s108,Movie,The Irishman,David Fincher,"Morgan Freeman, Brad Pitt, Denzel Washington",United States,"March 16, 2021",2010,TV-Y7,82 min,"Comedies, Romantic Movies",An emotional journey that resonates with viewers around the world.
s109,Movie,Project Power,David Fincher,"Emma Stone, Viola Davis, Tom Hanks, Scarlett Johansson",United States,"May 25, 2017",2016,TV-14,134 min,"Kids TV, Dramas, International Movies",A thought-provoking narrative exploring themes of identity and redemption.
s110,Movie,Pulp Fiction: Part 3,Alfonso Cuaron,"Meryl Streep, Ryan Gosling",Spain,"May 8, 2015",2014,R,96 min,"Reality TV, Documentaries, Children & Family Movies",A thought-provoking narrative exploring themes of identity and redemption.
s111,Movie,Avengers Endgame,Spike Lee,"Denzel Washington, Cate Blanchett, Brad Pitt, Viola Davis, Ryan Gosling",United States,"September 17, 2020",2019,PG,113 min,"Comedies, Children & Family Movies, Romantic Movies",A gripping tale that explores complex characters through unexpected twists.
s112,Movie,Army of the Dead,Bong Joon-ho,"Ryan Gosling, Morgan Freeman",Canada,"March 6, 2018",2018,PG-13,162 min,Comedies,A thought-provoking narrative exploring themes of identity and redemption.
s113,Movie,The Irishman,Steven Spielberg,"Viola Davis, Angelina Jolie",United States,"May 11, 2020",2016,TV-14,171 min,"International Movies, Romantic Movies, Children & Family Movies",An award-winning production that redefines storytelling in modern cinema.
s114,Movie,Schindlers List: Part 3,Quentin Tarantino,"Denzel Washington, Leonardo DiCaprio, Angelina Jolie",United States,"January 2, 2021",2016,TV-Y,136 min,"Crime TV Shows, Anime Series",A visually stunning piece that captivates with its unique perspective.
s115,TV Show,Shadow and Bone: Season 4,David Fincher,"Meryl Streep, Ryan Gosling",France,"February 21, 2018",2017,PG-13,4 Seasons,"Thrillers, Children & Family Movies",A gripping tale that explores complex characters through unexpected twists.
s116,TV Show,Stranger Things,David Fincher,"Brad Pitt, Emma Stone, Cate Blanchett, Leonardo DiCaprio",Japan,"September 4, 2021",2021,R,1 Season,"Thrillers, Children & Family Movies, Kids TV",An emotional journey that resonates with viewers around the world.
s117,TV Show,Sex Education: Season 5,Quentin Tarantino,"Denzel Washington, Emma Stone, Scarlett Johansson, Meryl Streep, Morgan Freeman",Brazil,"January 25, 2019",2018,PG-13,5 Seasons,Kids TV,A gripping tale that explores complex characters through unexpected twists.
s118,TV Show,Stranger Things: Season 6,Christopher Nolan,"Leonardo DiCaprio, Brad Pitt, Meryl Streep",Brazil,"November 21, 2016",2004,TV-MA,6 Seasons,Kids TV,A thought-provoking narrative exploring themes of identity and redemption.
s119,Movie,Roma,Bong Joon-ho,"Brad Pitt, Tom Hanks, Meryl Streep, Emma Stone",India,"May 17, 2016",2009,TV-14,176 min,Anime Series,A gripping tale that explores complex characters through unexpected twists.
